time, COPx, COPy, Fz, TopLeft, TopRight, BottomLeft, BottomRight
0.01, -3.9, 13.8, 66.5, 78.6814, 70.02828, 56.95099, 60.71367
0.02, -3.9, 13.8, 66.5, 78.6814, 70.02828, 56.95099, 60.71367
0.03, -4.1, 13.4, 66.5, 78.53004, 69.83288, 57.30639, 60.86955
0.04, -4.3, 13.5, 66.6, 78.71925, 69.91104, 57.38536, 60.83058
0.05, -4.3, 13.5, 66.6, 78.71925, 69.91104, 57.38536, 60.83058
0.06, -4.5, 13.7, 66.6, 78.90845, 69.91104, 57.30639, 60.75264
0.07, -4.5, 13.6, 66.7, 78.98413, 69.91104, 57.46434, 60.86955
0.08, -4.5, 13.6, 66.7, 78.98413, 69.91104, 57.46434, 60.86955
0.09, -4.6, 14, 66.5, 79.05981, 69.95012, 57.14843, 60.47986
0.1, -4.6, 14, 66.5, 79.05981, 69.95012, 57.14843, 60.47986
0.11, -5.1, 13.8, 66.6, 79.09766, 69.75471, 57.42485, 60.47986
0.12, -4.6, 13.5, 66.6, 78.87061, 69.87196, 57.54332, 60.79161
0.13, -4.6, 13.5, 66.6, 78.87061, 69.87196, 57.54332, 60.79161
0.14, -5.1, 13.6, 66.7, 79.09766, 69.91104, 57.78025, 60.59676
0.15, -5.1, 13.6, 66.7, 79.09766, 69.91104, 57.78025, 60.59676
0.16, -5.3, 13.7, 66.8, 79.3247, 69.87196, 57.74077, 60.5578
0.17, -5.2, 14, 66.8, 79.55174, 70.10644, 57.54332, 60.51883
0.18, -5.2, 14, 66.8, 79.55174, 70.10644, 57.54332, 60.51883
0.19, -5.4, 13.9, 66.6, 79.28686, 69.87196, 57.58281, 60.28502
0.2, -5.2, 13.8, 66.6, 79.17334, 69.91104, 57.6223, 60.36296
0.21, -5.2, 13.8, 66.6, 79.17334, 69.91104, 57.6223, 60.36296
0.22, -5.1, 13.9, 66.6, 79.21117, 69.83288, 57.38536, 60.40192
0.23, -5.1, 13.9, 66.6, 79.21117, 69.83288, 57.38536, 60.40192
0.24, -5.7, 13.7, 66.6, 79.40038, 69.52023, 57.6223, 60.40192
0.25, -5.6, 13.6, 66.7, 79.36254, 69.48116, 57.70128, 60.59676
0.26, -5.6, 13.6, 66.7, 79.36254, 69.48116, 57.70128, 60.59676
0.27, -6.1, 13.7, 66.8, 79.55174, 69.5984, 58.01719, 60.32399
0.28, -6.1, 13.7, 66.8, 79.55174, 69.5984, 58.01719, 60.32399
0.29, -6.6, 13.7, 66.6, 79.51391, 69.32483, 57.93821, 59.97327
