time, COPx, COPy, Fz, TopLeft, TopRight, BottomLeft, BottomRight
0.01, 40, -9.1, 73.8, 60.58936, 75.88761, 59.90476, 99.23611
0.02, 41.9, -10.5, 79.4, 63.35529, 81.67152, 64.91986, 108.1916
0.03, 41.9, -10.5, 79.4, 63.35529, 81.67152, 64.91986, 108.1916
0.04, 42.9, -11.1, 81.9, 64.5662, 84.13358, 66.97328, 112.4562
0.05, 42.9, -11.1, 81.9, 64.5662, 84.13358, 66.97328, 112.4562
0.06, 42.5, -10.5, 82.4, 65.24734, 85.18876, 67.36818, 112.3011
0.07, 42.5, -10.5, 82.4, 65.24734, 85.18876, 67.36818, 112.3011
0.08, 43.3, -9.4, 83.1, 65.73927, 87.45542, 67.36818, 112.2623
0.09, 43.3, -9.4, 83.1, 65.73927, 87.45542, 67.36818, 112.2623
0.1, 42.5, -7.5, 83.7, 67.29074, 89.68301, 67.36818, 110.7891
0.11, 42.5, -7.5, 83.7, 67.29074, 89.68301, 67.36818, 110.7891
0.12, 42.9, -5.7, 83.5, 67.97188, 91.24622, 66.10453, 109.1996
0.13, 42.4, -3.8, 82.8, 68.35028, 92.02784, 64.91986, 106.2532
0.14, 42.4, -3.8, 82.8, 68.35028, 92.02784, 64.91986, 106.2532
0.15, 41.7, -2.1, 81.7, 68.50165, 91.98875, 63.49826, 102.9967
0.16, 41.1, -0.9, 80.3, 68.23676, 91.36347, 62.07666, 100.0502
0.17, 41.1, -0.9, 80.3, 68.23676, 91.36347, 62.07666, 100.0502
0.18, 40.7, 0, 79.1, 67.59347, 90.81635, 60.93148, 97.22015
0.19, 40.7, 0, 79.1, 67.59347, 90.81635, 60.93148, 97.22015
0.2, 40.4, 0.6, 77.6, 66.64745, 89.44852, 59.62834, 94.85526
0.21, 40, 0.5, 75.5, 64.86893, 86.98646, 58.28571, 92.1027
0.22, 40, 0.5, 75.5, 64.86893, 86.98646, 58.28571, 92.1027
0.23, 39.5, 0.5, 73.3, 62.9012, 84.48531, 56.98258, 89.00121
0.24, 39.5, 0.5, 73.3, 62.9012, 84.48531, 56.98258, 89.00121
0.25, 38.8, -0.2, 71.1, 60.70308, 81.43703, 56.11382, 86.52003
0.26, 38, -1.4, 68.9, 58.46674, 77.80255, 55.24506, 84.46529
0.27, 38, -1.4, 68.9, 58.46674, 77.80255, 55.24506, 84.46529
0.28, 37.6, -2.8, 66.8, 56.3062, 74.40255, 54.29733, 82.72072
0.29, 36.4, -4.2, 64.3, 53.80453, 70.41634, 53.3101, 80.08446
0.3, 36.4, -4.2, 64.3, 53.80453, 70.41634, 53.3101, 80.08446
0.31, 35.9, -6.2, 62.2, 51.41656, 66.66462, 52.48083, 78.61125
0.32, 35.9, -6.2, 62.2, 51.41656, 66.66462, 52.48083, 78.61125
0.33, 35.8, -9.2, 60.4, 48.72537, 62.9129, 52.2439, 78.1848
0.34, 36.9, -12.4, 59.4, 46.1858, 60.25543, 52.40186, 78.96017
0.35, 36.9, -12.4, 59.4, 46.1858, 60.25543, 52.40186, 78.96017
0.36, 37.5, -14.6, 58.3, 44.63173, 57.83244, 51.96748, 79.30908
0.37, 37.5, -14.6, 58.3, 44.63173, 57.83244, 51.96748, 79.30908
0.38, 37.3, -17.8, 57.5, 42.77443, 55.21405, 52.55981, 79.92938
0.39, 36.4, -20.2, 57, 41.5994, 53.1037, 53.27061, 80.20076
0.4, 36.4, -20.2, 57, 41.5994, 53.1037, 53.27061, 80.20076
0.41, 35, -22, 55.9, 40.57599, 50.75888, 53.34959, 79.46416
0.42, 33.5, -23.2, 55.5, 40.15904, 49.19566, 53.70499, 79.11524
0.43, 33.5, -23.2, 55.5, 40.15904, 49.19566, 53.70499, 79.11524
0.44, 31.8, -22.7, 55.9, 41.03084, 49.5083, 54.41579, 78.84386
0.45, 31.8, -22.7, 55.9, 41.03084, 49.5083, 54.41579, 78.84386
0.46, 30.8, -21.4, 56.6, 42.35748, 50.60255, 54.85017, 78.88263
0.47, 28.8, -20.1, 57, 43.60831, 51.306, 55.40302, 78.14603
0.48, 28.8, -20.1, 57, 43.60831, 51.306, 55.40302, 78.14603
0.49, 27.1, -20.1, 57.3, 44.10107, 51.34508, 56.35075, 77.95219
0.5, 24.9, -19.8, 57.8, 44.85915, 51.65773, 57.6144, 77.52573
0.51, 24.9, -19.8, 57.8, 44.85915, 51.65773, 57.6144, 77.52573
0.52, 23, -19.5, 58.2, 45.61723, 51.69681, 58.44367, 77.21558
0.53, 23, -19.5, 58.2, 45.61723, 51.69681, 58.44367, 77.21558
0.54, 21.8, -19, 58.3, 46.1858, 51.81405, 58.75958, 76.71159
0.55, 21.3, -18.2, 58.4, 46.56484, 52.40025, 58.83856, 76.01376
0.56, 21.3, -18.2, 58.4, 46.56484, 52.40025, 58.83856, 76.01376
0.57, 19.9, -17.7, 58.9, 47.28502, 53.1037, 59.7863, 75.74238
0.58, 19.9, -17.7, 58.9, 47.28502, 53.1037, 59.7863, 75.74238
0.59, 18.1, -18.4, 60, 48.1189, 53.45543, 61.99768, 76.78913
0.6, 15.6, -20, 61, 48.68747, 52.94738, 64.68292, 78.14603
0.61, 15.6, -20, 61, 48.68747, 52.94738, 64.68292, 78.14603
0.62, 13.7, -21.1, 61.7, 49.02861, 52.63474, 66.73635, 78.80509
0.63, 12.3, -22.3, 61.8, 48.72537, 51.81405, 68.03951, 79.0377
0.64, 12.3, -22.3, 61.8, 48.72537, 51.81405, 68.03951, 79.0377
0.65, 11.7, -22.8, 61.8, 48.80119, 51.14968, 68.19756, 79.23154
0.66, 11.7, -22.8, 61.8, 48.80119, 51.14968, 68.19756, 79.23154
0.67, 11.8, -22.9, 61.6, 48.61166, 50.95428, 68.03951, 79.19278
0.68, 9, -22.2, 62.2, 49.59717, 51.69681, 69.77804, 78.14603
0.69, 9, -22.2, 62.2, 49.59717, 51.69681, 69.77804, 78.14603
