time, COPx, COPy, Fz, TopLeft, TopRight, BottomLeft, BottomRight
0.01, 29.6, -13.8, 76.7, 63.05257, 72.68301, 69.50145, 101.9111
0.02, 30.7, -15, 78.1, 63.05257, 73.54278, 71.08193, 105.0514
0.03, 31.8, -16.6, 79.2, 62.44667, 73.97266, 72.85996, 108.0366
0.04, 32, -18.1, 80.2, 62.21925, 73.97266, 74.67751, 110.479
0.05, 32, -18.1, 80.2, 62.21925, 73.97266, 74.67751, 110.479
0.06, 33.1, -18.5, 81, 62.06763, 74.9106, 75.38873, 112.1848
0.07, 33.6, -17.7, 82, 62.86337, 76.74738, 75.78384, 112.8439
0.08, 33.6, -17.7, 82, 62.86337, 76.74738, 75.78384, 112.8439
0.09, 34, -16, 82.2, 63.88506, 78.54508, 74.87508, 112.0297
0.1, 34, -16, 82.2, 63.88506, 78.54508, 74.87508, 112.0297
0.11, 34.3, -15, 82, 64.07427, 79.44393, 74.12434, 110.8667
0.12, 34.5, -14.2, 81.5, 64.03643, 79.63934, 73.13655, 109.5873
0.13, 34.5, -14.2, 81.5, 64.03643, 79.63934, 73.13655, 109.5873
0.14, 35.3, -13.7, 81.4, 63.77155, 80.34278, 72.58338, 109.2384
0.15, 35.3, -13.7, 81.4, 63.77155, 80.34278, 72.58338, 109.2384
0.16, 35.3, -13.7, 81.4, 63.77155, 80.34278, 72.58338, 109.2384
0.17, 36.1, -13.5, 81.3, 63.27961, 80.85082, 72.3068, 109.0058
0.18, 36.1, -13.5, 81.3, 63.27961, 80.85082, 72.3068, 109.0058
0.19, 36.3, -13.3, 80.3, 62.52248, 80.22554, 71.27949, 107.6101
0.2, 36.8, -13.1, 78.2, 60.74098, 78.54508, 69.18536, 104.7412
0.21, 36.8, -13.1, 78.2, 60.74098, 78.54508, 69.18536, 104.7412
0.22, 37.6, -12.7, 74.8, 57.97398, 75.73129, 65.74913, 100.0502
0.23, 37.6, -12.7, 74.8, 57.97398, 75.73129, 65.74913, 100.0502
0.24, 37.3, -12.2, 70.9, 55.4344, 71.94048, 62.03717, 94.54511
0.25, 37.5, -12.3, 67.9, 53.16016, 68.73589, 59.27294, 90.86211
0.26, 37.5, -12.3, 67.9, 53.16016, 68.73589, 59.27294, 90.86211
0.27, 37.1, -12, 65.9, 51.64399, 66.8991, 57.6144, 87.68308
0.28, 37.1, -12, 65.9, 51.64399, 66.8991, 57.6144, 87.68308
0.29, 37.3, -11.5, 63.8, 50.35525, 65.1014, 55.4425, 84.77544
0.3, 37.2, -10.6, 61.3, 48.83908, 62.9129, 52.79675, 80.8986
0.31, 37.2, -10.6, 61.3, 48.83908, 62.9129, 52.79675, 80.8986
0.32, 37.3, -10.2, 59, 47.05759, 60.9198, 50.70383, 77.5645
0.33, 36.7, -10.8, 57.4, 45.57933, 58.92669, 49.91405, 75.62608
0.34, 36.7, -10.8, 57.4, 45.57933, 58.92669, 49.91405, 75.62608
0.35, 35.8, -11.7, 56.9, 44.93496, 57.75428, 50.15099, 75.08331
0.36, 35.8, -11.7, 56.9, 44.93496, 57.75428, 50.15099, 75.08331
0.37, 34.4, -13.6, 57.3, 44.89706, 56.66003, 51.57259, 76.32391
0.38, 34.4, -13.6, 57.3, 44.89706, 56.66003, 51.57259, 76.32391
0.39, 33.8, -15.1, 57.8, 44.70753, 56.38646, 53.03368, 77.5645
0.4, 32.1, -15.9, 58.1, 45.01077, 55.87841, 54.13937, 77.87465
0.41, 32.1, -15.9, 58.1, 45.01077, 55.87841, 54.13937, 77.87465
0.42, 29.9, -16.5, 57.9, 44.97286, 54.9014, 55.00813, 77.21558
0.43, 26.5, -17.6, 58.6, 45.57933, 54.35428, 57.33798, 77.33189
0.44, 26.5, -17.6, 58.6, 45.57933, 54.35428, 57.33798, 77.33189
0.45, 23.7, -18.5, 59.3, 46.33741, 53.80715, 59.35191, 77.87465
0.46, 23.7, -18.5, 59.3, 46.33741, 53.80715, 59.35191, 77.87465
0.47, 22.5, -18.3, 59.7, 47.0955, 54.00256, 60.02323, 78.02972
0.48, 22.5, -18.3, 59.7, 47.0955, 54.00256, 60.02323, 78.02972
0.49, 21.6, -17.6, 59.2, 47.62615, 53.41635, 59.15447, 77.13805
0.5, 21.3, -17.5, 58.7, 47.28502, 53.06462, 58.79907, 76.2076
0.51, 21.3, -17.5, 58.7, 47.28502, 53.06462, 58.79907, 76.2076
0.52, 21.5, -17.4, 58.4, 46.98178, 52.83014, 58.3252, 75.70361
0.53, 20.5, -17.4, 58.2, 46.83017, 52.59566, 58.60163, 75.00578
0.54, 19.3, -17.7, 58.7, 47.20921, 52.86922, 59.94425, 75.27715
0.55, 19.3, -17.7, 58.7, 47.20921, 52.86922, 59.94425, 75.27715
0.56, 18.6, -17.1, 59.1, 48.0431, 53.33818, 60.1417, 75.27715
0.57, 18.6, -17.1, 59.1, 48.0431, 53.33818, 60.1417, 75.27715
0.58, 19.1, -16.1, 59.2, 48.57376, 53.88531, 59.47038, 75.08331
0.59, 19.1, -16.1, 59.2, 48.57376, 53.88531, 59.47038, 75.08331
0.6, 20.4, -16.4, 59.2, 48.34633, 53.84623, 59.07549, 75.93623
0.61, 20.4, -16.4, 59.2, 48.34633, 53.84623, 59.07549, 75.93623
0.62, 22.9, -17, 60, 48.42214, 54.62784, 59.11498, 78.37864
0.63, 22.9, -17, 60, 48.42214, 54.62784, 59.11498, 78.37864
0.64, 25.1, -17.7, 61, 48.46004, 55.56577, 59.58885, 80.93736
0.65, 27.7, -17.9, 61.7, 48.27052, 56.66003, 59.50987, 82.75948
0.66, 27.7, -17.9, 61.7, 48.27052, 56.66003, 59.50987, 82.75948
0.67, 30.2, -17.4, 62.3, 48.30843, 58.18416, 59.07549, 84.11639
0.68, 32, -16.4, 63.1, 49.10442, 59.78646, 58.56214, 85.27944
0.69, 32, -16.4, 63.1, 49.10442, 59.78646, 58.56214, 85.27944
0.7, 32.3, -14.4, 63.5, 50.31735, 61.54509, 57.93031, 84.73668
0.71, 32.3, -14.4, 63.5, 50.31735, 61.54509, 57.93031, 84.73668
0.72, 31.3, -12, 63.7, 51.79561, 62.87381, 57.29849, 83.18594
0.73, 29.8, -10.3, 64, 53.31178, 63.69451, 57.14053, 82.13918
0.74, 29.8, -10.3, 64, 53.31178, 63.69451, 57.14053, 82.13918
0.75, 28.5, -8.6, 64.2, 54.75213, 64.43703, 56.82462, 80.97613
0.76, 27.7, -6.9, 64.5, 56.04087, 65.53129, 56.50871, 80.08446
0.77, 27.7, -6.9, 64.5, 56.04087, 65.53129, 56.50871, 80.08446
0.78, 25.3, -5.6, 64.8, 57.59494, 66.03933, 57.02207, 79.0377
0.79, 25.3, -5.6, 64.8, 57.59494, 66.03933, 57.02207, 79.0377
0.8, 23.6, -5.3, 65.4, 58.69416, 66.35197, 57.93031, 78.88263
0.81, 22.3, -4.9, 66.2, 60.09661, 67.01634, 58.87805, 79.34785
0.82, 22.3, -4.9, 66.2, 60.09661, 67.01634, 58.87805, 79.34785
0.83, 21.2, -3.8, 66.5, 61.15793, 67.75887, 58.99651, 78.49494
0.84, 21.2, -3.8, 66.5, 61.15793, 67.75887, 58.99651, 78.49494
0.85, 21.3, -1.7, 65.7, 61.57487, 68.07152, 57.06156, 76.47898
0.86, 20.9, -0.1, 65.1, 61.95392, 68.14967, 55.75842, 74.77317
0.87, 20.9, -0.1, 65.1, 61.95392, 68.14967, 55.75842, 74.77317
0.88, 21.2, 2.1, 65.7, 63.50665, 70.45542, 55.20557, 74.07533
0.89, 22.2, 3.7, 66.4, 64.67973, 72.52669, 54.65273, 74.07533
0.9, 22.2, 3.7, 66.4, 64.67973, 72.52669, 54.65273, 74.07533
0.91, 21.8, 6, 66.5, 65.81495, 74.0899, 53.90244, 72.52459
0.92, 21.8, 6, 66.5, 65.81495, 74.0899, 53.90244, 72.52459
0.93, 21, 8.8, 66.6, 67.82051, 75.45773, 52.55981, 70.85754
0.94, 19.8, 11.3, 66.4, 69.2963, 76.31749, 51.49361, 68.80281
0.95, 19.8, 11.3, 66.4, 69.2963, 76.31749, 51.49361, 68.80281
0.96, 18.6, 13.4, 65.9, 70.20448, 76.63013, 50.38792, 66.67054
0.97, 16.9, 15.1, 65.6, 71.41539, 76.78646, 49.71661, 64.92596
0.98, 16.9, 15.1, 65.6, 71.41539, 76.78646, 49.71661, 64.92596
0.99, 15.3, 15.6, 66.1, 72.32357, 77.56807, 50.74332, 64.2641
1, 15.3, 15.6, 66.1, 72.32357, 77.56807, 50.74332, 64.2641
1.01, 14.2, 16.1, 67, 73.91289, 78.42783, 51.45412, 64.57584
1.02, 13.4, 15.8, 67.7, 74.59402, 78.93588, 52.48083, 64.96473
1.03, 13.4, 15.8, 67.7, 74.59402, 78.93588, 52.48083, 64.96473
1.04, 12, 16.7, 67.4, 75.35084, 78.62324, 52.12543, 63.91338
1.05, 12, 16.7, 67.4, 75.35084, 78.62324, 52.12543, 63.91338
1.06, 10.8, 17.7, 67.3, 76.10766, 78.74049, 51.84901, 62.78329
1.07, 9.6, 19.3, 67, 76.94016, 79.01405, 51.21719, 61.14662
1.08, 9.6, 19.3, 67, 76.94016, 79.01405, 51.21719, 61.14662
1.09, 8.6, 21.1, 66.6, 77.62129, 79.48301, 50.4669, 59.23716
